session,roll
1,2
1,2
1,2
1,9
1,2
1,2
1,15
1,8
1,15
1,5
1,17
1,11
1,10
1,3
1,16
1,20
1,14
1,2
1,3
1,18
1,13
1,2
1,2
1,19
1,2
1,20
1,2
1,2
1,14
1,19
1,5
1,12
1,11
1,2
1,12
1,8
1,7
1,5
1,19
1,9
1,12
1,9
1,19
1,11
1,12
2,8
2,7
2,14
2,14
2,15
2,2
2,12
2,12
2,6
2,4
2,3
2,5
2,7
2,6
2,18
2,14
2,13
2,18
2,5
2,3
2,15
3,17
3,4
3,15
3,10
3,6
3,16
3,8
3,12
3,10
3,8
3,4
3,15
3,14
3,16
4,19
4,19
4,18
4,8
4,8
4,16
4,4
4,20
4,15
4,9
4,1
4,5
4,13
4,11
4,14
4,1
4,13
4,2
4,8
4,4
4,6
4,20
5,16
5,15
5,4
5,3
5,7
5,4
5,5
5,15
5,2
5,12
5,8
5,6
5,3
5,17
5,7
5,8
5,1
5,8
5,14
5,3
5,9
5,4
5,6
5,20
5,13
5,11
5,10
5,18
5,2
5,15
5,8
6,7
6,18
6,17
6,1
6,9
6,15
6,20
6,10
6,8
6,13
6,4
6,1
6,12
6,8
6,6
6,17
6,6
6,3
6,11
6,8
6,6
6,2
6,11
7,5
7,19
7,9
7,16
7,16
7,14
7,17
7,13
7,9
7,8
7,20
7,16
7,12
7,20
7,17
7,1
7,16
7,2
8,2
8,7
8,2
8,2
8,2
8,8
8,1
8,9
8,6
8,16
8,4
8,6
8,1
8,10
8,3
8,10
8,11
8,6
8,6
8,8
8,19
8,13
8,2
8,3
8,11
8,12
9,18
9,18
9,14
9,8
10,1
10,5
10,15
10,4
10,8
10,13
10,13
10,17
10,1
10,4
10,7
11,1
11,15
11,3
11,14
11,20
11,15
11,15
11,5
11,9
11,19
12,6
12,8
13,7
13,11
13,10
13,2
13,6
13,1
13,12
13,11
13,9
13,14
13,12
14,3
14,5
14,15
14,6
14,17
14,10
14,1
14,9
14,8
14,4
14,3
14,1
14,13
14,3
14,8
